File Collector Signals
======================
source_project: pytoolbelt
source_path: C:\Dev\PROJECTS\00_PyToolbelt
scan_artifact: C:\Repository\codegraphx\data\pytoolbelt_scan_complete\scan_merged_pytoolbelt.jsonl
files_analyzed: 2622
collector_files: 251
collector_ratio: 0.095728
missing_files: 3

Top collectors:
 1. score=8.0 | lang=python | C:\Dev\PROJECTS\00_PyToolbelt\00_Meta\discover_requirements_v2.py | evidence=aggregate,filter,fs_imports,metadata,name_hint,read,walk
 2. score=8.0 | lang=python | C:\Dev\PROJECTS\00_PyToolbelt\00_Meta\generate_tools_index.py | evidence=aggregate,filter,fs_imports,metadata,name_hint,read,walk
 3. score=8.0 | lang=python | C:\Dev\PROJECTS\00_PyToolbelt\02_Scanners\CodeQuality_Scanning\ScriptCat\stream_scanner.py | evidence=aggregate,filter,fs_imports,metadata,name_hint,read,walk
 4. score=8.0 | lang=python | C:\Dev\PROJECTS\00_PyToolbelt\02_Scanners\CodebaseScanner\codebase_scanner.py | evidence=aggregate,filter,fs_imports,metadata,name_hint,read,walk
 5. score=8.0 | lang=python | C:\Dev\PROJECTS\00_PyToolbelt\06_Checkers\DoD_Checklist_Kit\dod_checklist_kit\audit.py | evidence=aggregate,filter,fs_imports,metadata,name_hint,read,walk
 6. score=8.0 | lang=python | C:\Dev\PROJECTS\00_PyToolbelt\06_Checkers\DoD_Checklist_Kit\scripts\discover_requirements.py | evidence=aggregate,filter,fs_imports,metadata,name_hint,read,walk
 7. score=8.0 | lang=python | C:\Dev\PROJECTS\00_PyToolbelt\09_SEO\90_GRAVEYARD\ResumableCrawler\audit_user_folder.py | evidence=aggregate,filter,fs_imports,metadata,name_hint,read,walk
 8. score=8.0 | lang=python | C:\Dev\PROJECTS\00_PyToolbelt\17_URLs\URL-Forensics\url_forensics_extract_v2.py | evidence=aggregate,filter,fs_imports,metadata,name_hint,read,walk
 9. score=8.0 | lang=python | C:\Dev\PROJECTS\00_PyToolbelt\17_URLs\URLextractBuildSqlite\url_extract_build_sqlite.py | evidence=aggregate,filter,fs_imports,metadata,name_hint,read,walk
10. score=8.0 | lang=python | C:\Dev\PROJECTS\00_PyToolbelt\19_SEO\90_GRAVEYARD\ResumableCrawler\audit_user_folder.py | evidence=aggregate,filter,fs_imports,metadata,name_hint,read,walk
11. score=7.5 | lang=python | C:\Dev\PROJECTS\00_PyToolbelt\00_Meta\ToolbeltNameNormalizer\toolbelt_name_normalizer.py | evidence=aggregate,filter,fs_imports,metadata,read,walk
12. score=7.5 | lang=python | C:\Dev\PROJECTS\00_PyToolbelt\02_Scanners\CodeQuality_Scanning\AnalyzeScripts\analyze_scripts.py | evidence=aggregate,filter,fs_imports,metadata,read,walk
